0,公式名,ファイル名,グループ名,どのフラグを建てるか
1,直線一般形,zukei/chokusen_generalForm.mml,直線,0
2,自然対数関数,zukei/naturalLogarithm.mml,対数関数,3
3,円形の標準形式,zukei/enkei_standardForm.mml,円形,1
4,自然指数関数,zukei/naturalExponential.mml,指数関数,4
5,放物線の標準型:y = (x ± a)(x ± b),zukei/houbutsusen_standardForm.mml,放物線,2
6,楕円,zukei/daen.mml,楕円,5
7,x軸方向双曲線,zukei/xaxis_hyperbola.mml,双曲線,6
8,分子関数 y= k/x,zukei/bunshikansu.mml,分子関数,7
9,無理関数の平方根関数 y = √ax,zukei/murikansu.mml,無理関数,8
10,連立1次関数,zukei/renritsuitijikansu.mml,連立1次関数,9
11,正弦の三角関数,zukei/seisintorikakansu.mml,正弦の三角関数,10
12,リサージュ曲線,zukei/risajyu.mml,リサージュ曲線,11
13,アステロイド曲線,zukei/asuteroido.mml,アステロイド曲線,12
14,サイクロイド,zukei/saikuroido.mml,サイクロイド,13
15,アルキメデスの渦巻線,zukei/arukimedesu.mml,アルキメデスの渦巻線,14
16,正葉曲線,zukei/seibakyokusen.mml,正葉曲線,15
17,カージオイド,zukei/kajioido.mml,カージオイド,16
18,直線傾き切片形式,zukei/chokusen_slopeInterceptForm.mml,直線,17
19,直線傾き切逆型,zukei/chokusen_underslopeInterceptForm.mml,直線,18
20,直線y傾き切型,zukei/chokusen_y_slopeInterceptForm.mml,直線,19
21,直線x傾き切型,zukei/chokusen_x_slopeInterceptForm.mml,直線,20
22,円形の一般形式,zukei/enkei_generalForm.mml,円形,21
23,三次関数,zukei/cubicFunction.mml,三次関数,22
24,放物線の頂点形式y = ax² + q,zukei/houbutsusen_vertexForm.mml,放物線,23
25,放物線の切片形式y = a(x ± p)²,zukei/houbutsusen_vertexForm2.mml,放物線,24
26,放物線の切片形式y = a(x ± p)² + q,zukei/houbutsusen_vertexForm4.mml,放物線,25
27,放物線の標準式y² = ax,zukei/houbutsusen_standardForm2.mml,放物線,26
28,放物線の標準式y = ax² + bx + c,zukei/houbutsusen_standardForm4.mml,放物線,27
29,放物線の標準式ay = x²,zukei/houbutsusen_standardForm4.mml,放物線,28
30,放物線の頂点形式y = ax²,zukei/houbutsusen_vertexForm3.mml,放物線,29
31,常用対数関数,zukei/commonLogarithm.mml,対数関数,30
32,減少対数関数,zukei/decreaseLogarithm.mml,対数関数,31
33,増加対数関数,zukei/increaseLogarithm.mml,対数関数,32
34,減少指数関数,zukei/decreaseExponential.mml,指数関数,33
35,増加指数関数,zukei/increaseExponential.mml,指数関数,34
36,y軸方向双曲線,zukei/yaxis_hyperbola.mml,双曲線,35
37,双曲線の標準形式,zukei/hyperbola_standardForm.mml,双曲線,36
38,分子関数 y=  k/(x-p),zukei/bunshikansu2.mml,分子関数,37
39,分子関数 y=  k/(x-p) + q,zukei/bunshikansu3.mml,分子関数,38
40,分子関数 (ax+b)/(cx+d),zukei/bunshikansu4.mml,分子関数,39
41,無理関数の平方根関数 y = √(ax + b),zukei/murikansu2.mml,無理関数,40
42,立方根関数 y = ∛ax,zukei/ritsuuboukon.mml,無理関数,41
43,乗根関数 y = -√ax,zukei/joukon.mml,無理関数,42
44,余弦の三角関数,zukei/yosintorikakansu.mml,余弦の三角関数,43
45,正接の三角関数,zukei/seisintorikakansu2.mml,正弦の三角関数,44
46,余接の三角関数,zukei/yosintorikakansu2.mml,余弦の三角関数,45
47,正割の三角関数,zukei/seisintorikakansu3.mml,正弦の三角関数,46
48,余割の三角関数,zukei/yosintorikakansu3.mml,余弦の三角関数,47
49,正弦の三角関数の逆関数,zukei/seisintorikakansu_inverse.mml,正弦の三角関数,48
50,余弦の三角関数の逆関数,zukei/yosintorikakansu_inverse.mml,余弦の三角関数,49  
51,正接の三角関数の逆関数,zukei/seisintorikakansu2_inverse.mml,正弦の三角関数,50
52,余接の三角関数の逆関数,zukei/yosintorikakansu2_inverse.mml,余弦の三角関数,51
53,正割の三角関数の逆関数,zukei/seisintorikakansu3_inverse.mml,正弦の三角関数,52
54,余割の三角関数の逆関数,zukei/yosintorikakansu3_inverse.mml,余弦の三角関数,53
55,双曲線正弦の三角関数,zukei/hyperbola_seisintorikakansu.mml,双曲線正弦の三角関数,54
56,双曲線余弦の三角関数,zukei/hyperbola_yosintorikakansu.mml,双曲線余弦の三角関数,55    
57,双曲線正接の三角関数,zukei/hyperbola_seisintorikakansu2.mml,双曲線正弦の三角関数,56
58,双曲線余接の三角関数,zukei/hyperbola_yosintorikakansu2.mml,双曲線余弦の三角関数,57
59,双曲線正割の三角関数,zukei/hyperbola_seisintorikakansu3.mml,双曲線正弦の三角関数,58
60,双曲線余割の三角関数,zukei/hyperbola_yosintorikakansu3.mml,双曲線余弦の三角関数,59
61,双曲線正弦の三角関数の逆関数,zukei/hyperbola_seisintorikakansu_inverse.mml,双曲線正弦の三角関数,60
62,双曲線余弦の三角関数の逆関数,zukei/hyperbola_yosintorikakansu_inverse.mml,双曲線余弦の三角関数,61
63,双曲線正接の三角関数の逆関数,zukei/hyperbola_seisintorikakansu2_inverse.mml,双曲線正弦の三角関数,62
64,双曲線余接の三角関数の逆関数,zukei/hyperbola_yosintorikakansu2_inverse.mml,双曲線余弦の三角関数,63
65,双曲線正割の三角関数の逆関数,zukei/hyperbola_seisintorikakansu3_inverse.mml,双曲線正弦の三角関数,64
66,双曲線余割の三角関数の逆関数,zukei/hyperbola_yosintorikakansu3_inverse.mml,双曲線余弦の三角関数,65
67,円形の中心半径型式,zukei/enkei_centerRadiusForm.mml,円形,66
